Rank,CCA3,Country/Territory,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
71,NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,1970,13037686
49,NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,1970,12501285
225,NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0.0,1970,6663
145,NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,1970,754467
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,1970,27284112
48,MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,1970,8411676
56,PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,1970,14996879
40,MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,1970,15274351
169,MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,1970,530268
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1970,1293880
217,MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0.0,1970,24270
135,MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,1970,3711140
194,FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0.0,1970,58989
10,MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,1970,50289306
182,MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0.0,1970,35383
157,MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,1970,830115
126,MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1970,1122198
180,MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0.0,1970,326428
173,MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,1970,315414
187,STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0.0,1970,77583
230,MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0.0,1970,11402
150,MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1970,1656783
215,MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0.0,1970,23969
120,NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,1970,3875546
210,NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0.0,1970,10143
188,WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0.0,1970,142771
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0.0,1970,98459
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0.0,1970,5537
220,MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0.0,1970,5802
190,LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0.0,1970,103090
211,KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0.0,1970,44968
76,RWA,Rwanda,Kigali,Africa,26338,523.0731,1.0234,0.17,1970,3896367
9,RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,1970,130093010
64,ROU,Romania,Bucharest,Europe,238391,82.4665,1.0171,0.25,1970,19922618
161,REU,Reunion,Saint-Denis,Africa,2511,387.914,1.0082,0.01,1970,473925
114,COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1970,1396989
228,BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0.0,1970,2417
136,PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,1970,2737619
5,PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,1970,59290872
143,QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,1970,118007
222,PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0.0,1970,11366
122,PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1970,1118241
93,PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,1970,2489059
128,PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1970,1516188
127,OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,1970,670693
44,PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,1970,13562371
13,PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,1970,37435586
37,POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,1970,32482943
92,PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,1970,8683631
109,PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,1970,2408787
208,GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,1980,50106
219,GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,1980,28734
90,GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13,1980,9307148
193,GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,1980,94838
75,GIN,Guinea,Conakry,Africa,245857,56.3716,1.0242,0.17,1980,4972609
191,GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,1980,110286
68,GTM,Guatemala,Guatemala City,North America,108889,163.8725,1.0134,0.22,1980,6987767
207,GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,1980,52860
149,GNB,Guinea-Bissau,Bissau,Africa,36125,58.2856,1.0218,0.03,1980,831462
47,GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,1980,11865246
178,GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,1980,334234
19,DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,1980,77786703
159,SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02,1980,598564
142,GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03,1980,718586
146,GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03,1980,749078
183,PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,1980,163591
184,GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,1980,66825
23,FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,1980,53713830
118,FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07,1980,4779418
162,FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01,1980,644582
209,FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,1980,43054
231,FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,1980,2240
12,ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,1980,34945469
107,LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,1980,2962720
156,EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02,1980,1476983
131,GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05,1980,5145843
164,GUY,Guyana,Georgetown,South America,214969,3.7621,1.0052,0.01,1980,778176
52,CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,1980,8303809
89,HND,Honduras,Tegucigalpa,North America,112492,92.7431,1.015,0.13,1980,3777990
121,LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,1980,1932169
132,ERI,Eritrea,Asmara,Africa,117600,31.3268,1.0176,0.05,1980,1657982
147,LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,1980,1407672
119,LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,1980,2963702
151,LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,1980,2572037
103,LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,1980,3297519
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,1980,3691209
129,KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,1980,1493870
192,KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,1980,60813
27,KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,1980,16187124
66,KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,1980,14172710
83,JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,1980,2216903
82,HTI,Haiti,Port-au-Prince,North America,27750,417.4773,1.012,0.15,1980,5646676
195,JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,1980,75124
139,JAM,Jamaica,Kingston,North America,10991,257.2447,0.9999,0.04,1980,2135546
25,ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,1980,56329482
98,ISR,Israel,Jerusalem,Asia,20770,435.1617,1.0155,0.11,1980,3744608
202,IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,1980,64022
125,IRL,Ireland,Dublin,Europe,70273,71.4799,1.0073,0.06,1980,3391387
35,IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,1980,13653369
17,IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,1980,38520664
4,IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,1980,148177096
2,IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,1980,696828385
179,ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,1980,228263
94,HUN,Hungary,Budapest,Europe,93028,107.1431,1.0265,0.12,1980,10698679
104,HKG,Hong Kong,Hong Kong,Asia,1104,6783.3922,0.9992,0.09,1980,4978544
11,JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,1980,117624196
152,GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02,1980,282509
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,1980,8980606
14,EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,1980,43748556
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,1980,4199820
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,1980,5736088
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,1980,415257
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,1980,53565
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,1980,3833939
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,1980,145133
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,1980,9828986
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,1980,9817257
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,1980,253575
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,1980,83929765
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,1980,362595
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,1980,223752
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,1980,938578
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,1980,6383060
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,1980,14706322
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,1980,62267
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,1980,3135123
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,1980,28024803
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,1980,64888
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,1980,6560
42,AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,1980,8330047
203,AND,Andorra,Andorra la Vella,Europe,468,170.5641,1.01,0.0,1980,35611
213,ASM,American Samoa,Pago Pago,Oceania,199,222.4774,0.9831,0.0,1980,32886
34,DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,1980,18739378
36,AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,1980,12486631
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,1980,25003
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,1980,7547561
112,SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08,1980,4508992
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,1980,122288383
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,1980,187921
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,1980,8135845
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,1980,26708686
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,1980,5755800
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,1980,72978
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,1980,324121
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,1980,5125392
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,1980,10270060
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,1980,679327
189,CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0.0,1980,156851
85,CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14,1980,9809107
130,HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05,1980,4680144
124,CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06,1980,2414303
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,1980,11109
223,COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0.0,1980,17651
28,COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,1980,26176195
1,CHN,China,Beijing,Asia,9706961,146.8933,1.0,17.88,1980,982372466
65,CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25,1980,11469828
69,TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22,1980,4408230
117,CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07,1980,2415276
205,CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0.0,1980,17100
171,CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,1980,317234
39,CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,1980,24511510
53,CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,1980,8519891
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,1980,6198959
78,BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16,1980,4312834
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,1980,6932967
163,COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01,1980,328328
141,LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,1980,3521206
138,ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04,1980,2941651
167,MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,1980,245332
95,TJK,Tajikistan,Dushanbe,Asia,143100,69.5513,1.0208,0.12,1980,4045965
57,TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,1980,18100281
60,SYR,Syria,Damascus,Asia,185180,119.4797,1.0376,0.28,1980,8898954
101,CHE,Switzerland,Bern,Europe,41284,211.7157,1.0056,0.11,1980,6319113
87,SWE,Sweden,Stockholm,Europe,450295,23.4276,1.0079,0.13,1980,8311763
170,SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,1980,375112
32,SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,1980,16673586
61,LKA,Sri Lanka,Colombo,Asia,65610,332.7563,1.0027,0.27,1980,14943645
30,ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,1980,37491666
86,SSD,South Sudan,Juba,Africa,619745,17.6091,1.0153,0.14,1980,4192011
29,KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,1980,38170501
24,ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,1980,29463549
70,SOM,Somalia,Mogadishu,Africa,637657,27.5971,1.0312,0.22,1980,5892224
166,SLB,Solomon Islands,Honiara,Oceania,28896,25.0648,1.0232,0.01,1980,233668
148,SVN,Slovenia,Ljubljana,Europe,20273,104.5649,1.0002,0.03,1980,1901570
116,SVK,Slovakia,Bratislava,Europe,49037,115.0856,1.0359,0.07,1980,4973883
214,SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0.0,1980,12243
113,SGP,Singapore,Singapore,Asia,710,8416.4634,1.0058,0.07,1980,2400729
102,SLE,Sierra Leone,Freetown,Africa,71740,119.957,1.022,0.11,1980,3367477
196,SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0.0,1980,65290
105,SRB,Serbia,Belgrade,Europe,88361,81.7257,0.9897,0.09,1980,7777010
72,SEN,Senegal,Dakar,Africa,196722,88.025,1.0261,0.22,1980,5703869
41,SAU,Saudi Arabia,Riyadh,Asia,2149690,16.9368,1.0128,0.46,1980,10171710
187,STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0.0,1980,97210
218,SMR,San Marino,San Marino,Europe,61,551.8033,0.9975,0.0,1980,21346
22,TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,1980,19297659
20,THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,1980,45737753
155,TLS,Timor-Leste,Dili,Asia,14874,90.1772,1.0154,0.02,1980,642224
100,TGO,Togo,Lomé,Africa,56785,155.8281,1.0236,0.11,1980,2838110
168,LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,1980,363741
74,ZWE,Zimbabwe,Harare,Africa,390757,41.7665,1.0204,0.2,1980,7049926
63,ZMB,Zambia,Lusaka,Africa,752612,26.5976,1.028,0.25,1980,5720438
46,YEM,Yemen,Sanaa,Asia,527968,63.8232,1.0217,0.42,1980,9204938
172,ESH,Western Sahara,El Aaiún,Africa,266000,2.1654,1.0184,0.01,1980,116775
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,142,81.493,0.9953,0.0,1980,11315
16,VNM,Vietnam,Hanoi,Asia,331212,296.4472,1.0074,1.23,1980,52968270
51,VEN,Venezuela,Caracas,South America,916445,30.882,1.0036,0.35,1980,15210443
234,VAT,Vatican City,Vatican City,Europe,1,510.0,0.998,0.0,1980,733
181,VUT,Vanuatu,Port-Vila,Oceania,12189,26.8061,1.0238,0.0,1980,118156
43,UZB,Uzbekistan,Tashkent,Asia,447400,77.3975,1.016,0.43,1980,15947129
133,URY,Uruguay,Montevideo,South America,181034,18.9069,0.999,0.04,1980,2953750
188,WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0.0,1980,164905
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,347,286.6427,0.9937,0.0,1980,96640
21,GBR,United Kingdom,London,Europe,242900,277.9289,1.0034,0.85,1980,56326328
97,ARE,United Arab Emirates,Abu Dhabi,Asia,83600,112.9322,1.0081,0.12,1980,1014048
38,UKR,Ukraine,Kiev,Europe,603500,65.7858,0.912,0.5,1980,49973920
31,UGA,Uganda,Kampala,Africa,241550,195.61,1.0304,0.59,1980,13284026
227,TUV,Tuvalu,Funafuti,Oceania,26,435.0769,1.0096,0.0,1980,7731
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,948,48.2099,1.0131,0.0,1980,7598
111,TKM,Turkmenistan,Ashgabat,Asia,488100,13.1751,1.014,0.08,1980,2862903
18,TUR,Turkey,Ankara,Asia,783562,108.9145,1.0067,1.07,1980,44089069
79,TUN,Tunisia,Tunis,Africa,163610,75.5218,1.0076,0.15,1980,6578156
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,5130,298.4491,1.0035,0.02,1980,1127852
197,TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0.0,1980,96708
233,TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0.0,1980,1647
3,USA,United States,"Washington, D.C.",North America,9372610,36.0935,1.0038,4.24,1980,223140018
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0.0,1980,107480
,WLD,World,,,,,,,1980,4442400371
220,MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0.0,1980,7776
185,NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0.0,1980,148599
71,NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,1980,14130387
49,NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,1980,15600442
225,NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0.0,1980,7635
145,NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,1980,975994
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,1980,33465781
48,MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,1980,11413587
40,MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,1980,19678444
230,MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0.0,1980,11452
169,MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,1980,589324
217,MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0.0,1980,27076
135,MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,1980,4103240
123,NZL,New Zealand,Wellington,Oceania,270467,19.1716,1.0108,0.07,1980,3147168
194,FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0.0,1980,76299
182,MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0.0,1980,52233
157,MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,1980,954865
126,MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1980,1506694
180,MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0.0,1980,333786
215,MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0.0,1980,31988
173,MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,1980,333587
59,MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,1980,7372581
174,MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,1980,164887
45,MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,1980,13215707
62,MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,1980,6267369
50,MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,1980,8948162
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0.0,1980,6106
10,MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,1980,67705186
106,NIC,Nicaragua,Managua,North America,130373,53.2962,1.0143,0.09,1980,3303309
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1980,1697780
6,NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,1980,72951439
190,LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0.0,1980,121633
54,NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,1980,6173177
228,BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0.0,1980,2983
76,RWA,Rwanda,Kigali,Africa,26338,523.0731,1.0234,0.17,1980,5247532
9,RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,1980,138257420
64,ROU,Romania,Bucharest,Europe,238391,82.4665,1.0171,0.25,1980,22125224
161,REU,Reunion,Saint-Denis,Africa,2511,387.914,1.0082,0.01,1980,551674
114,COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1980,1829256
143,QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,1980,277450
136,PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,1980,3214568
92,PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,1980,9785252
37,POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,1980,35521429
13,PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,1980,48419546
211,KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0.0,1980,43097
109,PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,1980,3078912
44,PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,1980,17492406
150,MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1980,1907023
210,NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0.0,1980,17613
120,NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,1980,4085776
127,OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,1980,1017462
56,PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,1980,17973650
222,PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0.0,1980,12252
122,PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1980,1453620
128,PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1980,1956987
232,NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0.0,1980,3637
93,PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,1980,3104788
5,PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,1980,80624057
47,GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,1990,15446982
219,GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,1990,27317
90,GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13,1990,10302255
208,GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,1990,55599
178,GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,1990,391951
191,GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,1990,138263
68,GTM,Guatemala,Guatemala City,North America,108889,163.8725,1.0134,0.22,1990,9084780
207,GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,1990,57727
19,DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,1990,79370196
193,GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,1990,99047
131,GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05,1990,5391636
118,FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07,1990,4986545
146,GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03,1990,983028
183,PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,1990,211089
184,GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,1990,113931
23,FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,1990,56412897
162,FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01,1990,780430
209,FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,1990,47479
231,FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,1990,2332
12,ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,1990,47878073
159,SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02,1990,854011
156,EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02,1990,1570674
132,ERI,Eritrea,Asmara,Africa,117600,31.3268,1.0176,0.05,1990,2149960
75,GIN,Guinea,Conakry,Africa,245857,56.3716,1.0242,0.17,1990,6354145
